B_age,B_current_lose_streak,B_current_win_streak,B_Height_cms,B_longest_win_streak,B_losses,B_Reach_cms,B_Stance,B_total_rounds_fought,B_total_title_bouts,B_Weight_lbs,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,R_age,R_current_lose_streak,R_current_win_streak,R_Height_cms,R_longest_win_streak,R_losses,R_Reach_cms,R_Stance,R_total_rounds_fought,R_total_title_bouts,R_Weight_lbs,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,title_bout,weight_class,Winner
0.357142857,0,0.1875,0.260869565,0.1875,0,0.346153846,Orthodox,0.063829787,0,0.266666667,0,0,0.1,0,0.071428571,0.5,0.130434783,0.37037037,0,0.125,0.391304348,0.25,0.058823529,0.541666667,Switch,0.181818182,0.25,0.366666667,0,0,0.1,0.272727273,0,1,0.260869565,TRUE,Welterweight,Red
0.25,0,0.0625,0.391304348,0.125,0.0625,0.538461538,Orthodox,0.074468085,0,0.366666667,0,0,0.1,0.181818182,0,0,0.130434783,0.481481481,0,0.25,0.52173913,0.25,0.058823529,0.583333333,Southpaw,0.159090909,0.0625,0.466666667,0.5,0,0.1,0.181818182,0,0,0.217391304,FALSE,Middleweight,Red
0.285714286,0,0.0625,0.565217391,0.0625,0.0625,0.653846154,Orthodox,0.095744681,0,0.6,0.5,0,0.1,0,0,0,0.086956522,0.481481481,0,0.0625,0.608695652,0.375,0.058823529,0.666666667,Orthodox,0.181818182,0,0.6,0,0,0.5,0.090909091,0,0.5,0.304347826,FALSE,LightHeavyweight,Red
0.678571429,0,0.125,0.565217391,0.125,0.1875,0.538461538,Orthodox,0.127659574,0,0.6,0,0,0,0.090909091,0.285714286,0,0.217391304,0.296296296,0,0.0625,0.652173913,0.3125,0.117647059,0.583333333,Orthodox,0.25,0.4375,0.6,0,0,0.2,0.363636364,0.071428571,0.5,0.347826087,TRUE,LightHeavyweight,Red
0.321428571,0.2,0,0.260869565,0.125,0.0625,0.384615385,Orthodox,0.074468085,0,0.366666667,0.5,0,0,0,0.071428571,0,0.086956522,0.148148148,0,0.1875,0.391304348,0.1875,0.058823529,0.416666667,Orthodox,0.113636364,0.0625,0.266666667,0,0,0,0.363636364,0,0,0.173913043,FALSE,Lightweight,Red
0.428571429,0,0.0625,0.652173913,0.0625,0.125,0.730769231,Orthodox,0.031914894,0.0625,0.6,0,0,0,0,0.071428571,0,0.043478261,0.259259259,0,0.0625,0.565217391,0.0625,0.058823529,0.625,Orthodox,0.068181818,0,0.6,0.5,0,0,0,0,0,0.043478261,FALSE,LightHeavyweight,Red
0.214285714,0,0.1875,0.52173913,0.1875,0.0625,0.615384615,Southpaw,0.063829787,0,0.466666667,0,0,0,0.363636364,0.071428571,0,0.217391304,0.481481481,0,0.0625,0.608695652,0.3125,0.058823529,0.666666667,Orthodox,0.147727273,0,0.6,0,0,0.4,0.090909091,0,0.5,0.260869565,FALSE,LightHeavyweight,Red
0.214285714,0.2,0,0.391304348,0,0.0625,0.576923077,Southpaw,0.031914894,0,0.266666667,0,0,0,0,0,0,0,0.296296296,0.25,0,0.304347826,0.0625,0.117647059,0.416666667,Southpaw,0.079545455,0.0625,0.266666667,0,0,0,0.090909091,0,0,0.043478261,FALSE,Lightweight,Red
0.678571429,0,0.4375,0.565217391,0.4375,0,0.653846154,Orthodox,0.180851064,0.3125,0.6,0.5,0,0.1,0.363636364,0.071428571,0,0.304347826,0.185185185,0,0.0625,0.652173913,0.125,0.058823529,0.75,Orthodox,0.079545455,0,0.9,0,0,0,0.181818182,0.071428571,0,0.130434783,TRUE,Heavyweight,Red
0.428571429,0,0.0625,0.652173913,0.0625,0.0625,0.730769231,Orthodox,0.021276596,0.0625,0.6,0,0,0,0,0.071428571,0,0.043478261,0.444444444,0,0.1875,0.52173913,0.1875,0.058823529,0.583333333,Orthodox,0.068181818,0.0625,0.466666667,0,0,0,0.181818182,0.142857143,0,0.173913043,FALSE,LightHeavyweight,Red
0.142857143,0,0.1875,0.391304348,0.1875,0,0.461538462,Orthodox,0.031914894,0,0.266666667,0,0,0,0.272727273,0,0,0.130434783,0.296296296,0.25,0,0.304347826,0.3125,0.058823529,0.416666667,Southpaw,0.204545455,0.125,0.2,0,0,0.3,0.181818182,0,0,0.217391304,TRUE,Lightweight,Red
0.25,0.2,0,0.304347826,0.0625,0.0625,0.461538462,Southpaw,0.063829787,0.0625,0.266666667,0,0,0,0.090909091,0,0,0.043478261,0.111111111,0,0.125,0.391304348,0.125,0,0.416666667,Orthodox,0.022727273,0,0.266666667,0,0,0,0.181818182,0,0,0.086956522,FALSE,Lightweight,Red
0.214285714,0,0.0625,0.391304348,0.0625,0,0.538461538,Orthodox,0.021276596,0,0.366666667,0,0,0.1,0,0,0,0.043478261,0.444444444,0,0.125,0.52173913,0.125,0,0.583333333,Southpaw,0.045454545,0,0.466666667,0,0,0,0.090909091,0,0,0.086956522,FALSE,Middleweight,Red
0.214285714,0,0.0625,0.391304348,0.0625,0,0.538461538,Orthodox,0.010638298,0,0.266666667,0,0,0,0,0.071428571,0,0.043478261,0.259259259,0.25,0,0.304347826,0.25,0.058823529,0.416666667,Southpaw,0.147727273,0.0625,0.2,0,0,0.2,0.181818182,0,0,0.173913043,TRUE,Lightweight,Red
0.392857143,0,0.0625,0.52173913,0.0625,0,0.615384615,Orthodox,0.031914894,0,0.6,0,0,0.1,0,0,0,0.043478261,0.259259259,0,0.0625,0.652173913,0.25,0.117647059,0.583333333,Orthodox,0.193181818,0.375,0.6,0,0,0.1,0.363636364,0.071428571,0.5,0.304347826,TRUE,LightHeavyweight,Red
0.392857143,0,0.0625,0.652173913,0.0625,0,0.730769231,Orthodox,0.010638298,0,0.6,0,0,0,0,0.071428571,0,0.043478261,0.259259259,0,0.0625,0.652173913,0.1875,0.117647059,0.583333333,Orthodox,0.181818182,0.3125,0.6,0,0,0.1,0.272727273,0.071428571,0.5,0.260869565,TRUE,LightHeavyweight,Red
0.392857143,0,0.1875,0.52173913,0.1875,0,0.615384615,Orthodox,0.031914894,0,0.466666667,0,0,0,0.181818182,0.071428571,0,0.130434783,0.259259259,0,0.0625,0.652173913,0.125,0.117647059,0.583333333,Orthodox,0.170454545,0.25,0.6,0,0,0.1,0.181818182,0.071428571,0.5,0.217391304,TRUE,LightHeavyweight,Red
0.357142857,0,0.0625,0.391304348,0.0625,0,0.615384615,Orthodox,0.021276596,0,0.88,0,0,0.1,0,0,0,0.043478261,0.407407407,0,0.0625,0.608695652,0.0625,0.058823529,0.666666667,Orthodox,0.034090909,0,0.6,0,0,0.1,0,0,0.5,0.086956522,FALSE,Middleweight,Red
0.142857143,0.2,0,0.47826087,0.0625,0.0625,0.615384615,Orthodox,0.021276596,0,0.6,0,0,0,0.090909091,0,0,0.043478261,0.222222222,0,0.0625,0.652173913,0.125,0.117647059,0.583333333,Orthodox,0.102272727,0.125,0.6,0,0,0,0.181818182,0,0.5,0.130434783,TRUE,LightHeavyweight,Red
0.357142857,0,0.0625,0.608695652,0.0625,0,0.692307692,Orthodox,0.010638298,0,0.6,0,0,0.1,0,0,0,0.043478261,0.148148148,0.5,0,0.565217391,0,0.117647059,0.583333333,Orthodox,0.034090909,0.0625,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Red
0.035714286,0,0.1875,0.52173913,0.1875,0,0.615384615,Southpaw,0.031914894,0,0.466666667,0,0,0,0.272727273,0,0,0.130434783,0.555555556,0,0.125,0.565217391,0.125,0,0.625,Orthodox,0.022727273,0.0625,0.6,0,0,0,0.090909091,0.071428571,0,0.086956522,FALSE,Heavyweight,Red
0.392857143,0,0.1875,0.434782609,0.1875,0,0.615384615,Orthodox,0.095744681,0,0.266666667,0,0,0.3,0,0,0,0.130434783,0.407407407,0,0,0.347826087,0,0,0.333333333,Orthodox,0,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Blue
0.571428571,0,0.0625,0.434782609,0.0625,0,0.384615385,Orthodox,0.031914894,0,0.366666667,0,0,0.1,0,0,0,0.043478261,0.407407407,0,0,0.347826087,0,0,0.416666667,Orthodox,0,0,0.2,0,0,0,0,0,0,0,FALSE,Featherweight,Red
0.321428571,0.2,0,0.086956522,0,0.0625,0.115384615,Orthodox,0.031914894,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0.217391304,0,0,0.291666667,Orthodox,0,0,0,0,0,0,0,0,0,0,FALSE,WomenStrawweight,Blue
0.428571429,0.4,0,0.434782609,0.0625,0.1875,0.576923077,Southpaw,0.117021277,0,0.2,0,0,0,0,0.071428571,0,0.043478261,0.407407407,0,0,0.47826087,0,0,0.541666667,Orthodox,0,0,0.2,0,0,0,0,0,0,0,FALSE,Featherweight,Red
0.571428571,0.4,0,0.130434783,0,0.125,0.269230769,Southpaw,0.063829787,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0.217391304,0,0,0.291666667,Orthodox,0,0,0,0,0,0,0,0,0,0,FALSE,WomenStrawweight,Blue
0.428571429,0.2,0,0.52173913,0,0.0625,0.769230769,Switch,0.010638298,0,0.2,0,0,0,0,0,0,0,0.296296296,0,0,0.565217391,0,0,0.458333333,Southpaw,0,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Red
0.214285714,0.2,0,0.434782609,0,0.0625,0.538461538,Southpaw,0.021276596,0,0.066666667,0,0,0,0,0,0,0,0.444444444,0,0,0.260869565,0,0,0.375,Southpaw,0,0,0.133333333,0,0,0,0,0,0,0,FALSE,Flyweight,Red
0.357142857,0.2,0,0.304347826,0,0.0625,0.346153846,Southpaw,0.031914894,0,0.066666667,0,0,0,0,0,0,0,0.407407407,0,0,0.304347826,0,0,0.333333333,Orthodox,0,0,0.066666667,0,0,0,0,0,0,0,FALSE,Flyweight,Red
0.571428571,0.2,0,0.52173913,0,0.0625,0.653846154,Orthodox,0.010638298,0,1,0,0,0,0,0,0,0,0.444444444,0,0,0.695652174,0,0,0.791666667,Orthodox,0,0,1,0,0,0,0,0,0,0,FALSE,Heavyweight,Blue
0.214285714,0,0.0625,0.565217391,0.0625,0,0.615384615,Orthodox,0.031914894,0,0.6,0,0,0.1,0,0,0,0.043478261,0.481481481,0,0,0.434782609,0,0,0.541666667,Orthodox,0,0,0.6,0,0,0,0,0,0,0,FALSE,LightHeavyweight,Red
0.428571429,0.2,0,0.652173913,0.0625,0.1875,0.769230769,Orthodox,0.14893617,0,0.766666667,0,0.2,0.1,0.090909091,0,0,0.130434783,0.296296296,0,0,0.739130435,0,0,0.75,Orthodox,0,0,0.94,0,0,0,0,0,0,0,FALSE,Heavyweight,Red
0.214285714,0.4,0,0.652173913,0,0.125,0.769230769,Orthodox,0.063829787,0,0.6,0,0,0,0,0,0,0,0.481481481,0,0,0.608695652,0,0,0.666666667,Orthodox,0,0,0.6,0,0,0,0,0,0,0,FALSE,LightHeavyweight,Red
0.214285714,0.2,0,0.652173913,0.0625,0.125,0.769230769,Orthodox,0.063829787,0,0.966666667,0,0,0,0,0.071428571,0,0.043478261,0.222222222,0,0,0.52173913,0,0,0.625,Orthodox,0,0,0.866666667,0,0,0,0,0,0,0,FALSE,Heavyweight,Blue
0.285714286,0.2,0,0.043478261,0.125,0.1875,0.153846154,Orthodox,0.117021277,0,0,0,0.2,0.1,0,0,0,0.086956522,0.148148148,0,0,0.260869565,0,0,0.333333333,Southpaw,0,0,0.066666667,0,0,0,0,0,0,0,FALSE,WomenFlyweight,Red
0.321428571,0.2,0,0.782608696,0,0.0625,0.884615385,Orthodox,0.031914894,0,0.966666667,0,0,0,0,0,0,0,0.296296296,0,0,0.608695652,0,0,0.833333333,Orthodox,0,0,0.873333333,0,0,0,0,0,0,0,FALSE,Heavyweight,Red
0.535714286,0.2,0,0.347826087,0,0.0625,0.5,Southpaw,0.031914894,0,0.266666667,0,0,0,0,0,0,0,0.333333333,0,0,0.52173913,0,0,0.541666667,Southpaw,0,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Red
0.285714286,0,0.0625,0.52173913,0.0625,0.125,0.692307692,Orthodox,0.074468085,0,0.6,0,0,0,0.090909091,0,0,0.043478261,0.333333333,0,0,0.695652174,0,0,0.791666667,Southpaw,0,0,0.6,0,0,0,0,0,0,0,FALSE,LightHeavyweight,Red
0.428571429,0,0.1875,0.695652174,0.1875,0.125,0.846153846,Orthodox,0.117021277,0,0.6,0,0.2,0.1,0,0.071428571,0,0.130434783,0.185185185,0,0,0.565217391,0,0,0.583333333,Orthodox,0,0,0.6,0,0,0,0,0,0,0,FALSE,LightHeavyweight,Red
0.357142857,0,0.125,0.52173913,0.125,0.125,0.692307692,Southpaw,0.085106383,0,0.466666667,0,0,0.1,0.090909091,0,0,0.086956522,0.296296296,0,0,0.47826087,0,0,0.5,Southpaw,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Red
0.428571429,0.6,0,0.217391304,0.0625,0.1875,0.423076923,Orthodox,0.117021277,0,0.2,0,0,0.1,0,0,0,0.043478261,0.037037037,0,0,0.565217391,0,0,0.583333333,Southpaw,0,0,0.2,0,0,0,0,0,0,0,FALSE,Featherweight,Red
0.607142857,0.2,0,0.434782609,0.25,0.375,0.384615385,Orthodox,0.382978723,0,0.266666667,0,0,0.5,0.181818182,0.214285714,0,0.434782609,0.259259259,0,0,0.391304348,0,0,0.416666667,Orthodox,0,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Red
0.25,0.2,0,0.52173913,0.0625,0.0625,0.615384615,Orthodox,0.063829787,0,0.6,0,0,0.1,0,0,0,0.043478261,0.37037037,0,0,0.608695652,0,0,0.666666667,Orthodox,0,0,0.6,0,0,0,0,0,0,0,FALSE,LightHeavyweight,Red
0.357142857,0.4,0,0.52173913,0,0.125,0.653846154,Orthodox,0.063829787,0,0.366666667,0,0,0,0,0,0,0,0.37037037,0,0,0.47826087,0,0,0.5,Orthodox,0,0,0.366666667,0,0,0,0,0,0,0,FALSE,Welterweight,Blue
0.357142857,0,0.0625,0.565217391,0.0625,0.125,0.615384615,Southpaw,0.095744681,0,0.466666667,0,0.2,0.1,0,0.071428571,0,0.130434783,0.333333333,0,0,0.52173913,0,0,0.625,Southpaw,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Blue
0.357142857,0,0.125,0.086956522,0.125,0.0625,0.192307692,Orthodox,0.063829787,0,0,0,0,0.1,0,0.071428571,0,0.086956522,0.148148148,0,0,0.043478261,0,0,0.041666667,Orthodox,0,0,0,0,0,0,0,0,0,0,FALSE,WomenStrawweight,Red
0.25,0.2,0,0.652173913,0.1875,0.0625,0.884615385,Orthodox,0.127659574,0,0.466666667,0,0.2,0.1,0,0.071428571,0,0.130434783,0.148148148,0,0,0.608695652,0,0,0.625,Orthodox,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Red
0.428571429,0.4,0,0.47826087,0,0.125,0.538461538,Orthodox,0.053191489,0,0.366666667,0,0,0,0,0,0,0,0.296296296,0,0,0.608695652,0,0,0.583333333,Orthodox,0,0,0.366666667,0,0,0,0,0,0,0,FALSE,Welterweight,Red
0.214285714,0.2,0,0.52173913,0,0.0625,0.615384615,Southpaw,0.021276596,0,0.266666667,0,0,0,0,0,0,0,0.592592593,0,0,0.347826087,0,0,0.5,Orthodox,0,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Red
0.214285714,0.2,0,0.434782609,0,0.0625,0.5,Orthodox,0.021276596,0,0.133333333,0,0,0,0,0,0,0,0.185185185,0,0,0.347826087,0,0,0.458333333,Orthodox,0,0,0.133333333,0,0,0,0,0,0,0,FALSE,Bantamweight,Red
0.535714286,0,0.0625,0.130434783,0.0625,0.4375,0.230769231,Orthodox,0.308510638,0,0,0,0,0.4,0,0,0,0.173913043,0.259259259,0,0,0.086956522,0,0,0.041666667,Orthodox,0,0,0,0,0,0,0,0,0,0,FALSE,WomenStrawweight,Blue
0.428571429,0,0.0625,0.304347826,0.0625,0.25,0.346153846,Orthodox,0.159574468,0,0.133333333,0,0,0.1,0,0.071428571,0,0.086956522,0.185185185,0,0,0.173913043,0,0,0.083333333,Orthodox,0,0,0.066666667,0,0,0,0,0,0,0,FALSE,WomenBantamweight,Blue
0.464285714,0.2,0,0.565217391,0.0625,0.125,0.653846154,Orthodox,0.053191489,0,0.266666667,0,0,0,0,0.071428571,0,0.043478261,0.37037037,0,0,0.347826087,0,0,0.458333333,Switch,0,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Red
0.214285714,0.2,0,0.52173913,0,0.0625,0.653846154,Orthodox,0.021276596,0,0.466666667,0,0,0,0,0,0,0,0.333333333,0,0,0.434782609,0,0,0.541666667,Orthodox,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Blue
0.357142857,0,0.125,0.52173913,0.125,0.0625,0.692307692,Southpaw,0.063829787,0,0.466666667,0,0,0.1,0.090909091,0,0,0.086956522,0.37037037,0,0,0.52173913,0,0,0.541666667,Orthodox,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Red
0.178571429,0,0.0625,0.47826087,0.0625,0.125,0.5,Southpaw,0.053191489,0,0.2,0,0,0,0.090909091,0,0,0.043478261,0.407407407,0,0,0.391304348,0,0,0.416666667,Orthodox,0,0,0.2,0,0,0,0,0,0,0,FALSE,Featherweight,Red
0.142857143,0.2,0,0.347826087,0,0.0625,0.576923077,Orthodox,0.021276596,0,0.266666667,0,0,0,0,0,0,0,0.518518519,0,0,0.347826087,0,0,0.458333333,Southpaw,0,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Blue
0.214285714,0.2,0,0.347826087,0,0.0625,0.423076923,Orthodox,0.031914894,0,0.133333333,0,0,0,0,0,0,0,0.37037037,0,0,0.52173913,0,0,0.541666667,Southpaw,0,0,0.133333333,0,0,0,0,0,0,0,FALSE,Bantamweight,Blue
0.285714286,0.2,0,0.304347826,0,0.0625,0.307692308,Orthodox,0.021276596,0.0625,0.133333333,0,0,0,0,0,0,0,0.444444444,0,0,0.304347826,0,0,0.333333333,Orthodox,0,0,0.133333333,0,0,0,0,0,0,0,FALSE,WomenBantamweight,Red
0.464285714,0.2,0,0.565217391,0.125,0.25,0.576923077,Orthodox,0.095744681,0,0.466666667,0,0,0,0,0.142857143,0,0.086956522,0.407407407,0,0,0.260869565,0,0,0.416666667,Orthodox,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Red
0.392857143,0.4,0,0.304347826,0,0.125,0.269230769,Orthodox,0.053191489,0,0.133333333,0,0,0,0,0,0,0,0.222222222,0,0,0.260869565,0,0,0.375,Orthodox,0,0,0.066666667,0,0,0,0,0,0,0,FALSE,WomenFlyweight,Red
0.428571429,0,0.125,0.565217391,0.125,0.125,0.615384615,Orthodox,0.159574468,0.0625,0.466666667,0,0,0.3,0,0,0,0.130434783,0.37037037,0,0,0.565217391,0,0,0.583333333,Orthodox,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Blue
0.285714286,0.2,0,0.217391304,0,0.0625,0.423076923,Orthodox,0.031914894,0,0.133333333,0,0,0,0,0,0,0,0.333333333,0,0,0.391304348,0,0,0.375,Southpaw,0,0,0.133333333,0,0,0,0,0,0,0,FALSE,Bantamweight,Blue
0.428571429,0,0.0625,0.652173913,0.0625,0.1875,0.692307692,Orthodox,0.106382979,0,0.6,0,0,0,0,0.142857143,0,0.086956522,0.259259259,0,0,0.739130435,0,0,0.958333333,Southpaw,0,0,0.6,0,0,0,0,0,0,0,FALSE,LightHeavyweight,Blue
0.285714286,0,0.0625,0.304347826,0.125,0.1875,0.346153846,Orthodox,0.170212766,0,0.066666667,0,0.2,0.1,0,0.071428571,0,0.130434783,0.111111111,0,0,0.304347826,0,0,0.416666667,Orthodox,0,0,0.133333333,0,0,0,0,0,0,0,FALSE,WomenFlyweight,Blue
0.285714286,0.2,0,0.391304348,0,0.0625,0.346153846,Orthodox,0.021276596,0,0.2,0,0,0,0,0,0,0,0.259259259,0,0,0.47826087,0,0,0.458333333,Switch,0,0,0.133333333,0,0,0,0,0,0,0,FALSE,Bantamweight,Blue
0.464285714,0.4,0,0.565217391,0,0.125,0.769230769,Orthodox,0.031914894,0,0.466666667,0,0,0,0,0,0,0,0.185185185,0,0,0.52173913,0,0,0.75,Orthodox,0,0,0.6,0,0,0,0,0,0,0,FALSE,LightHeavyweight,Blue
0.428571429,0,0.125,0.347826087,0.125,0,0.461538462,Orthodox,0.063829787,0,0.2,0,0,0.2,0,0,0,0.086956522,0.481481481,0,0,0.304347826,0,0,0.5,Orthodox,0,0,0.2,0,0,0,0,0,0,0,FALSE,Featherweight,Red
0.357142857,0,0.0625,0.565217391,0.0625,0.125,0.615384615,Southpaw,0.063829787,0,0.2,0,0.2,0,0,0,0,0.043478261,0.222222222,0,0,0.434782609,0,0,0.5,Switch,0,0,0.2,0,0,0,0,0,0,0,FALSE,Featherweight,Red
0.142857143,0.2,0,0.652173913,0,0.0625,0.730769231,Southpaw,0.010638298,0,0.266666667,0,0,0,0,0,0,0,0.555555556,0,0,0.52173913,0,0,0.5,Orthodox,0,0,0.366666667,0,0,0,0,0,0,0,FALSE,Lightweight,Blue
0.357142857,0.2,0,0.652173913,0,0.0625,0.692307692,Orthodox,0.010638298,0,0.866666667,0,0,0,0,0,0,0,0.407407407,0,0,0.739130435,0,0,0.833333333,Orthodox,0,0,1,0,0,0,0,0,0,0,FALSE,Heavyweight,Blue
0.464285714,0.2,0,0.608695652,0,0.0625,0.653846154,Southpaw,0.031914894,0,0.366666667,0,0,0,0,0,0,0,0.37037037,0,0,0.52173913,0,0,0.666666667,Orthodox,0,0,0.366666667,0,0,0,0,0,0,0,FALSE,Welterweight,Blue
0.428571429,0,0.0625,0.652173913,0.0625,0.125,0.692307692,Orthodox,0.074468085,0,0.6,0,0,0,0,0.142857143,0,0.086956522,0.111111111,0,0,0.608695652,0,0,0.583333333,Orthodox,0,0,0.6,0,0,0,0,0,0,0,FALSE,LightHeavyweight,Red
0.428571429,0.2,0,0.434782609,0.0625,0.125,0.461538462,Southpaw,0.085106383,0,0.266666667,0,0.2,0,0,0,0,0.043478261,0.185185185,0,0,0.608695652,0,0,0.541666667,Orthodox,0,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Red
0.285714286,0,0.0625,0.391304348,0.25,0.3125,0.384615385,Orthodox,0.276595745,0,0.133333333,0,0,0.2,0.181818182,0.071428571,0,0.217391304,0.111111111,0,0,0.347826087,0,0,0.5,Southpaw,0,0,0.066666667,0,0,0,0,0,0,0,FALSE,Bantamweight,Blue
0.392857143,0.2,0,0.47826087,0,0.0625,0.538461538,Orthodox,0.021276596,0,0.366666667,0,0,0,0,0,0,0,0.222222222,0,0,0.565217391,0,0,0.458333333,Orthodox,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Welterweight,Red
0.357142857,0,0.0625,0.565217391,0.0625,0.0625,0.615384615,Southpaw,0.053191489,0,0.2,0,0.2,0,0,0,0,0.043478261,0.222222222,0,0,0.391304348,0,0,0.666666667,Orthodox,0,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Red
0.321428571,0.4,0,0.695652174,0.125,0.25,0.769230769,Orthodox,0.14893617,0,0.9,0,0,0.1,0.090909091,0,0,0.086956522,0.296296296,0,0,0.652173913,0,0,0.708333333,Orthodox,0,0,1,0,0,0,0,0,0,0,FALSE,Heavyweight,Red
0.142857143,0,0.125,0.217391304,0.125,0,0.192307692,Orthodox,0.031914894,0,0.066666667,0,0,0,0,0.142857143,0,0.086956522,0.296296296,0,0,0.260869565,0,0,0.25,Orthodox,0,0,0.133333333,0,0,0,0,0,0,0,FALSE,WomenFlyweight,Red
0.714285714,0.2,0,0.130434783,0.0625,0.1875,0.192307692,Southpaw,0.106382979,0,0,0,0,0,0,0.071428571,0,0.043478261,0.296296296,0,0,0.130434783,0,0,0.125,Orthodox,0,0,0,0,0,0,0,0,0,0,FALSE,WomenStrawweight,Red
0.535714286,0.2,0,0.391304348,0.4375,0.5625,0.461538462,Orthodox,0.585106383,0.0625,0.366666667,0,0,0.5,0.636363636,0.071428571,0.5,0.608695652,0.555555556,0,0,0.347826087,0,0,0.416666667,Orthodox,0,0,0.366666667,0,0,0,0,0,0,0,FALSE,Welterweight,Red
0.571428571,0.2,0,0.608695652,0.1875,0.5,0.692307692,Orthodox,0.393617021,0.0625,0.466666667,0,0.2,0.5,0.181818182,0.142857143,0,0.47826087,0.222222222,0,0,0.52173913,0,0,0.666666667,Orthodox,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Red
0.357142857,0,0.1875,0.608695652,0.1875,0,0.807692308,Orthodox,0.095744681,0,0.6,0,0.2,0.2,0,0,0,0.130434783,0.407407407,0,0,0.391304348,0,0,0.583333333,Orthodox,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Blue
0.285714286,0.2,0,0.347826087,0,0.0625,0.538461538,Orthodox,0.031914894,0,0.2,0,0,0,0,0,0,0,0.185185185,0,0,0.304347826,0,0,0.333333333,Orthodox,0,0,0.2,0,0,0,0,0,0,0,FALSE,Featherweight,Blue
0.535714286,0.4,0,0.217391304,0.0625,0.1875,0.346153846,Orthodox,0.159574468,0,0.066666667,0,0.2,0,0.090909091,0,0,0.086956522,0.518518519,0,0,0.173913043,0,0,0.291666667,Orthodox,0,0,0.133333333,0,0,0,0,0,0,0,FALSE,WomenFlyweight,Red
0.285714286,0.2,0,0.434782609,0,0.0625,0.538461538,Orthodox,0.031914894,0,0.133333333,0,0,0,0,0,0,0,0.296296296,0,0,0.434782609,0,0,0.416666667,Orthodox,0,0,0.2,0,0,0,0,0,0,0,FALSE,Featherweight,Blue
0.25,0.4,0,0.608695652,0,0.125,0.769230769,Orthodox,0.053191489,0,0.366666667,0,0,0,0,0,0,0,0.296296296,0,0,0.47826087,0,0,0.625,Southpaw,0,0,0.366666667,0,0,0,0,0,0,0,FALSE,Welterweight,Red
0.321428571,0,0.0625,0.304347826,0.125,0.0625,0.461538462,Orthodox,0.127659574,0.0625,0.2,0,0,0.3,0,0,0,0.130434783,0.518518519,0,0,0.434782609,0,0,0.416666667,Orthodox,0,0,0.2,0,0,0,0,0,0,0,FALSE,Featherweight,Blue
0.5,0,0.1875,0.47826087,0.1875,0.0625,0.5,Orthodox,0.085106383,0,0.266666667,0,0.2,0,0.181818182,0,0,0.130434783,0.296296296,0,0,0.391304348,0,0,0.458333333,Orthodox,0,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Blue
0.25,0.6,0,0.52173913,0,0.1875,0.615384615,Orthodox,0.053191489,0,0.466666667,0,0,0,0,0,0,0,0.296296296,0,0,0.608695652,0,0,0.5,Orthodox,0,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Red
0.428571429,0.2,0,0.347826087,0,0.0625,0.5,Orthodox,0.031914894,0,0.133333333,0,0,0,0,0,0,0,0.148148148,0,0,0.47826087,0,0,0.5,Switch,0,0,0.133333333,0,0,0,0,0,0,0,FALSE,Bantamweight,Red
0.535714286,0.4,0,0.217391304,0.0625,0.1875,0.346153846,Orthodox,0.127659574,0,0.066666667,0,0,0,0.090909091,0,0,0.043478261,0.703703704,0,0,0.173913043,0,0,0.208333333,Orthodox,0,0,0.066666667,0,0,0,0,0,0,0,FALSE,WomenFlyweight,Blue
